Date,Price,Open,High,Low,Vol.,Change %,range,timestamp,target,segment
2023-07-07,30346.4,29912.7,30442.0,29757.4,46420.0,1.45,684.5999999999985,2023-07-07,30346.4,main
2023-07-06,29913.1,30512.8,31463.6,29869.0,90810.0,-1.97,1594.5999999999985,2023-07-06,29913.1,main
2023-07-05,30512.8,30768.6,30875.6,30233.3,43230.0,-0.83,642.2999999999993,2023-07-05,30512.8,main
2023-07-04,30768.4,31152.0,31326.5,30657.8,42120.0,-1.23,668.7000000000007,2023-07-04,30768.4,main
2023-07-03,31151.3,30617.5,31377.0,30581.5,56490.0,1.74,795.5,2023-07-03,31151.3,main
2023-07-02,30617.7,30587.1,30769.0,30227.9,28820.0,0.1,541.0999999999985,2023-07-02,30617.7,main
2023-07-01,30586.8,30472.9,30649.9,30329.0,22460.0,0.37,320.90000000000146,2023-07-01,30586.8,main
2023-06-30,30472.9,30445.7,31275.5,29714.5,118650.0,0.09,1561.0,2023-06-30,30472.9,main
2023-06-29,30445.7,30077.3,30823.1,30051.3,49570.0,1.22,771.7999999999993,2023-06-29,30445.7,main
2023-06-28,30078.6,30691.9,30703.4,29919.5,51060.0,-1.99,783.9000000000015,2023-06-28,30078.6,main
2023-06-27,30689.1,30267.0,30993.7,30231.3,55820.0,1.39,762.4000000000015,2023-06-27,30689.1,main
2023-06-26,30267.0,30466.3,30645.9,29986.3,58710.0,-0.65,659.6000000000022,2023-06-26,30267.0,main
2023-06-25,30465.3,30533.6,31040.2,30315.8,37120.0,-0.22,724.4000000000015,2023-06-25,30465.3,main
2023-06-24,30533.6,30680.7,30795.3,30269.4,38150.0,-0.48,525.8999999999978,2023-06-24,30533.6,main
2023-06-23,30679.4,29890.2,31395.4,29822.6,98850.0,2.64,1572.800000000003,2023-06-23,30679.4,main
2023-06-22,29890.5,29992.8,30497.8,29590.4,79220.0,-0.35,907.3999999999978,2023-06-22,29890.5,main
2023-06-21,29996.9,28307.7,30769.5,28270.5,143490.0,5.97,2499.0,2023-06-21,29996.9,main
